id,global_order,chapter_id,event_id,map_name,map_period,speaker,source_label,english_visible_length,thai_visible_length,longest_english_line,longest_thai_line,page_count,placeholder_count,control_code_sequence,result,notes
dlg_2c3eb5a86574bda7,242,league,victory_road,VictoryRoad_1F,victory_road,Wally,VictoryRoad_1F_Text_WallyPostEntranceBattle,78,65,33,32,1,1,\n | {PLAYER} | \l,ok,
dlg_166dd7131ed8aba5,243,league,elite_four,EverGrandeCity_DrakesRoom,elite_four,,EverGrandeCity_DrakesRoom_Text_IntroSpeech,332,281,36,38,6,0,\n | \p | \n | \p | \n | \p | \n | \p | \p | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_27801ee152f487cf,244,league,elite_four,EverGrandeCity_DrakesRoom,elite_four,,EverGrandeCity_GlaciasRoom_Text_IntroSpeech,255,209,39,34,5,0,\n | \p | \n | \p | \n | \p | \p | \n,ok,
dlg_3e4d602d030fbda7,245,league,elite_four,EverGrandeCity_DrakesRoom,elite_four,,EverGrandeCity_PhoebesRoom_Text_IntroSpeech,270,229,40,34,5,0,\p | \n | \p | \n | \p | \n | \p | \n,ok,
dlg_eb6ec0975494eabc,246,league,elite_four,EverGrandeCity_DrakesRoom,elite_four,,EverGrandeCity_SidneysRoom_Text_IntroSpeech,243,189,36,28,3,0,\n | \p | \n | \l | \p | \n | \l,ok,
dlg_2ebe47d3ac14fd8e,247,league,champion,EverGrandeCity_ChampionsRoom,champion,,EverGrandeCity_ChampionsRoom_Text_IntroSpeech,583,496,37,34,11,2,{PLAYER} | {KUN} | \p | \n | \l | \p | \p | \n | \p | \n | \p | \n | \l | \p | \n | \p | \n | \l | \p | \p | \n | \p,ok,
dlg_025c0ed4eb72f302,248,league,champion,EverGrandeCity_ChampionsRoom,champion,May,EverGrandeCity_ChampionsRoom_Text_MayAdvice,58,46,39,27,2,2,{PLAYER} | {KUN} | \p | \n,ok,
dlg_7998d023049f109f,249,league,champion,EverGrandeCity_ChampionsRoom,champion,May,EverGrandeCity_ChampionsRoom_Text_MayItsAlreadyOver,62,52,18,17,2,2,\n | \p | {PLAYER} | {KUN} | \n | \l,ok,
dlg_002edf666920d96c,250,league,champion,EverGrandeCity_ChampionsRoom,champion,Brendan,EverGrandeCity_ChampionsRoom_Text_BrendanAdvice,75,45,37,20,2,1,{PLAYER} | \p | \n,ok,
dlg_2354d73bb4e62974,251,league,champion,EverGrandeCity_ChampionsRoom,champion,Brendan,EverGrandeCity_ChampionsRoom_Text_BrendanYouveWon,63,38,27,20,2,1,{PLAYER} | \p | \n,ok,
dlg_81ca23e1fc2c226a,252,league,champion,EverGrandeCity_ChampionsRoom,champion,Professor Birch,EverGrandeCity_ChampionsRoom_Text_BirchArriveRatePokedex,335,262,37,30,7,5,\n | {RIVAL} | \p | \n | {PLAYER} | {KUN} | \p | \n | {PLAYER} | {KUN} | \p | \n | \l | \p | \n | \p | \p | \n,ok,
dlg_dd762debedb89c77,253,league,champion,EverGrandeCity_ChampionsRoom,champion,Professor Birch,EverGrandeCity_ChampionsRoom_Text_BirchCongratulations,73,76,36,40,2,0,\n | \p,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_e48bce6d96070af2,254,league,champion,EverGrandeCity_ChampionsRoom,champion,Wallace,EverGrandeCity_ChampionsRoom_Text_WallaceComeWithMe,74,62,34,29,4,2,{PLAYER} | {KUN} | \p | \p | \p,ok,
dlg_44055334f4fe10fa,255,league,champion,EverGrandeCity_ChampionsRoom,champion,Wallace,EverGrandeCity_ChampionsRoom_Text_WallaceWaitOutside,137,114,37,36,3,0,\p | \n | \p | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_ba212f09bd9a9718,256,league,champion,EverGrandeCity_ChampionsRoom,champion,May,EverGrandeCity_ChampionsRoom_Text_MayCongratulations,113,105,29,25,4,2,\p | \n | \p | \n | \p | {PLAYER} | {KUN} | \n,ok,
dlg_d3aa53241d06684c,257,league,champion,EverGrandeCity_ChampionsRoom,champion,Brendan,EverGrandeCity_ChampionsRoom_Text_BrendanCongratulations,109,88,38,24,3,1,\n | \p | \p | {PLAYER} | \n,ok,
dlg_7696ddbcad4cdaca,258,league,champion,EverGrandeCity_ChampionsRoom,champion,Professor Birch,gBirchDexRatingText_SoYouveSeenAndCaught,57,43,27,22,2,2,\p | {STR_VAR_1} | \n | {STR_VAR_2},ok,
dlg_dc0ce7c8455a31db,259,league,champion,EverGrandeCity_ChampionsRoom,champion,Professor Birch,gBirchDexRatingText_OnANationwideBasis,75,64,27,22,2,2,\n | \p | {STR_VAR_1} | \n | {STR_VAR_2},ok,
dlg_620c88648d5b14e6,260,league,hall_of_fame,EverGrandeCity_HallOfFame,hall_of_fame,,EverGrandeCity_HallOfFame_Text_HereWeHonorLeagueChampions,143,129,36,28,3,0,\p | \n | \l | \p | \n,ok,
dlg_f8d2a6465c7b7c81,261,league,hall_of_fame,EverGrandeCity_HallOfFame,hall_of_fame,,EverGrandeCity_HallOfFame_Text_LetsRecordYouAndYourPartnersNames,141,115,36,31,1,0,\n | \l | \l,ok,
